Taxon	Annotation	Symbol	Feature Type	Segment	Used for Genome Quality	PubMed IDs*
Alphacoronavirus	2'-O-methyltransferase and mRNA cap-1 formation factor NSP16 protein	NSP16	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	3'-to-5' exoribonuclease and guanine-N7-methyltransferase NSP14 protein	NSP14	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	Envelope protein	E	CDS	Single RNA Segment	1	
Alphacoronavirus	Helicase NSP13 protein	NSP13	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	Likely interferon antagonist ORF4 protein	ORF4	CDS	Single RNA Segment	0	40638224;17194306
Alphacoronavirus	Main protease involved in polyprotein cleavage NSP5 protein	NSP5	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	Mature C-terminal spike protein membrane fusion domain S2	S2	mat_peptide	Single RNA Segment	0	29786498;35976165;27317167;18400867
Alphacoronavirus	Mature N-terminal spike protein receptor binding domain S1	S1	mat_peptide	Single RNA Segment	0	29786498;35976165;27317167;18400867
Alphacoronavirus	Membrane glycoprotein	M	CDS	Single RNA Segment	1	
Alphacoronavirus	NSP11 protein	NSP11	mat_peptide	Single RNA Segment	0	26948040
Alphacoronavirus	Nonstructural protein involved in interferon suppression NSP2	NSP2	mat_peptide	Single RNA Segment	1	16476987;38597182;16911043
Alphacoronavirus	Nonstructural protein involved in suppressing host gene expression NSP1	NSP1	mat_peptide	Single RNA Segment	1	11431476;16306572;25432065;16911043
Alphacoronavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Alphacoronavirus	ORF1a polyprotein	ORF1a	CDS	Single RNA Segment	1	
Alphacoronavirus	ORF1ab polyprotein	ORF1ab	CDS	Single RNA Segment	0	1404364
Alphacoronavirus	Papain-like protease involved in polyprotein cleavage NSP3	NSP3	mat_peptide	Single RNA Segment	1	16476987;16911043
Alphacoronavirus	RNA synthesis cofactor NSP10 protein	NSP10	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	RNA-binding NSP9 protein	NSP9	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	RNA-dependent RNA polymerase	NSP12	mat_peptide	Single RNA Segment	0	1404364;16911043
Alphacoronavirus	RNA-dependent RNA polymerase cofactor NSP7 protein	NSP7	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	RNA-dependent RNA polymerase cofactor NSP8 protein	NSP8	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	Signal peptide of spike protein	SP	mat_peptide	Single RNA Segment	0	
Alphacoronavirus	Spike protein	S	CDS	Single RNA Segment	1	
Alphacoronavirus	Transmembrane replication complex NSP4 protein	NSP4	mat_peptide	Single RNA Segment	1	16476987;26948040;16911043
Alphacoronavirus	Transmembrane replication complex NSP6 protein	NSP6	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphacoronavirus	Uridylate-specific endoribonuclease NSP15 protein	NSP15	mat_peptide	Single RNA Segment	1	26948040;16911043
Alphainfluenzavirus	Hemagglutinin precursor	HA0	CDS	HA Segment	1	
Alphainfluenzavirus	Host mRNA degrading protein PA-X	PA-X	CDS	PA Segment	0	23155484;36558855;22745253
Alphainfluenzavirus	Interferon antagonist and host mRNA processing inhibitor NS1 protein	NS1	CDS	NS Segment	1	
Alphainfluenzavirus	M2 ion channel protein	M2	CDS	M Segment	0	24825008;22685560;23133386
Alphainfluenzavirus	M42 alternative ion channel protein	M42	CDS	M Segment	0	24825008;22685560;23133386
Alphainfluenzavirus	Matrix protein 1	M1	CDS	M Segment	1	
